Location,Date,Time,Latitude,Longitude,Altitude,YRMODAHRMI,Month,Hour,Season,Humidity,AmbientTemp,PolyPwr,Wind.Speed,Visibility,Pressure,Cloud.Ceiling
Peterson,20170627,1400,38.82,-104.71,1879,201706000000.0,6,14,Summer,5.52368,41.21849,22.42298,23,10.0,807.5,722
March AFB,20180724,1500,33.9,-117.26,458,201807000000.0,7,15,Summer,18.06641,45.80574,15.99935,11,10.0,957.9,722
Travis,20180220,1500,38.16,-121.56,1,201802000000.0,2,15,Winter,19.32373,18.12111,13.86928,6,10.0,1019.7,722
March AFB,20170805,1100,33.9,-117.26,458,201708000000.0,8,11,Summer,28.70483,38.00087,17.59635,8,10.0,959.5,722
USAFA,20170905,1300,38.95,-104.83,1947,201709000000.0,9,13,Fall,41.58325,23.27484,6.96226,3,10.0,808.4,22
Travis,20171006,1100,38.16,-121.56,1,201710000000.0,10,11,Fall,20.56274,26.51764,13.81502,9,10.0,1015.0,722
USAFA,20180406,1130,38.95,-104.83,1947,201804000000.0,4,11,Spring,47.07642,7.74818,3.09707,23,10.0,797.0,15
USAFA,20170609,1145,38.95,-104.83,1947,201706000000.0,6,11,Summer,14.52026,39.35539,19.31683,15,10.0,796.7,722
Grissom,20180710,1400,40.67,-86.15,239,201807000000.0,7,14,Summer,36.68213,43.86208,19.49922,14,10.0,988.2,160
Kahului,20171112,1300,20.89,-156.44,2,201711000000.0,11,13,Fall,64.05029,30.27908,18.75642,20,10.0,1011.4,722
Camp Murray,20180718,1500,47.11,-122.57,84,201807000000.0,7,15,Summer,14.42261,49.07875,19.27478,10,10.0,1010.6,722
Camp Murray,20180214,1445,47.11,-122.57,84,201802000000.0,2,14,Winter,80.14526,9.70192,1.93512,9,10.0,1007.6,42
Kahului,20180129,1400,20.89,-156.44,2,201801000000.0,1,14,Winter,67.82837,27.68837,17.76384,18,10.0,1007.3,722
Peterson,20180125,1100,38.82,-104.71,1879,201801000000.0,1,11,Winter,6.45142,31.64116,3.96967,5,10.0,808.6,250
JDMT,20170719,1300,26.98,-80.11,2,201707000000.0,7,13,Summer,46.96045,41.21094,27.59557,10,10.0,1019.3,250
Peterson,20170814,1400,38.82,-104.71,1879,201708000000.0,8,14,Summer,14.4043,41.25374,22.56916,15,10.0,809.4,722
Travis,20170609,1115,38.16,-121.56,1,201706000000.0,6,11,Summer,42.92603,27.04887,25.67794,13,10.0,1010.9,25
